Firm,Year,Employment
ABANA,1998,17
ADANA,1998,567
ADEL,1998,195
AFYON,1998,142
AGIDA,1998,899
AKALT,1998,2439
AKBNK,1998,7911
AKCNS,1998,996
AKFIN,1998,47
AKGRT,1998,339
AKIPD,1998,1620
AKSA,1998,655
AKTAS,1998,458
ALARK,1998,48
ALCTL,1998,657
ALFA,1998,141
ALNTF,1998,673
ALRSA,1998,768
ALTIN,1998,1469
ANACM,1998,872
ANBRA,1998,53
ANSGR,1998,311
APEKS,1998,181
ARAT,1998,624
ARCLK,1998,3359
ARDEM,1998,970
ARFYO,1998,3
ARSAN,1998,1495
ASELS,1998,2665
ASLAN,1998,351
ASUZU,1998,216
ATAYO,1998,1
ATEKS,1998,1655
ATLAS,1998,5
ATSYO,1998,4
AVRSY,1998,2
AYCES,1998,226
AYGAZ,1998,646
BAGFS,1998,474
BAKAB,1998,278
BANVT,1998,1334
BTCIM,1998,444
BEKO,1998,1790
BERDN,1998,1419
BFREN,1998,214
BISAS,1998,352
BOLUC,1998,297
BOSSA,1998,362
BRISA,1998,1374
BRMEN,1998,1467
BROVA,1998,181
BRSAN,1998,972
BRYAT,1998,11
BUCIM,1998,299
BUMYO,1998,7
BYRBY,1998,418
BYSAN,1998,
CARSI,1998,1473
CBSBO,1998,199
CELHA,1998,299
CEMTS,1998,390
CEYLN,1998,126
CIMSA,1998,465
CLEBI,1998,1102
CMBTN,1998,445
CMENT,1998,882
COMUN,1998,131
CUKEL,1998,540
CYTAS,1998,488
DARDL,1998,1338
DEMIR,1998,2018
DENCM,1998,955
DERIM,1998,193
DEVA,1998,829
DISBA,1998,1368
DITAS,1998,450
DMRYO,1998,3
DMSAS,1998,497
DOGUB,1998,156
DOHOL,1998,80
DOKTS,1998,1318
DUROF,1998,163
DYHOL,1998,19
ECBYO,1998,2
ECILC,1998,807
ECYAP,1998,1792
ECZYT,1998,4
EDIP,1998,1109
EFES,1998,70
EGBRA,1998,488
EGDIS,1998,158
EGEEN,1998,500
EGGUB,1998,167
EGIYM,1998,44
EGPRO,1998,193
EGSER,1998,966
EMEK,1998,122
EMKEL,1998,278
EMNIS,1998,116
EMPAS,1998,206
EMSAN,1998,212
ENKAI,1998,21
EPLAS,1998,475
ERBOS,1998,353
ERCYS,1998,493
EREGL,1998,6240
ESBNK,1998,2241
ESEMS,1998,512
EVREN,1998,5
FACFA,1998,32
FENIS,1998,396
FFKRL,1998,67
FINBN,1998,1534
FNSYO,1998,5
FRIGO,1998,617
GARAN,1998,5114
GDKYO,1998,2
GEDIZ,1998,481
GENTS,1998,386
GIMA,1998,1767
GLMDE,1998,232
GLOBL,1998,3
GOLTS,1998,566
GOODY,1998,1540
GORBN,1998,229
GRNYO,1998,2
GUBRF,1998,615
GUMUS,1998,1385
GUNEY,1998,249
GUSGR,1998,362
HEKTS,1998,235
HLKSG,1998,380
HURGZ,1998,96
HZNDR,1998,98
IDAS,1998,533
IHEVA,1998,648
IHFIN,1998,732
IHLAS,1998,2464
IKTFN,1998,45
INMDY,1998,51
INTEM,1998,364
ISAMB,1998,428
ISBTR,1998,14827
ISTMP,1998,445
ISYAT,1998,3
IZMDC,1998,538
IZOCM,1998,289
KAPLM,1998,164
KARTN,1998,328
KAVOR,1998,4
KCHOL,1998,164
KENT,1998,974
KEPEZ,1998,154
KERVT,1998,937
KIPA,1998,704
KLBMO,1998,461
KLMSN,1998,310
KNFRT,1998,133
KONYA,1998,177
KORDS,1998,639
KOTKS,1998,837
KOYTS,1998,403
KRDMR,1998,608
KRSTL,1998,197
KRTEK,1998,787
KUTPO,1998,1894
LUKSK,1998,172
MAALT,1998,233
MAKTK,1998,61
MARET,1998,247
MDRNU,1998,1250
MEDYA,1998,166
MEGES,1998,135
MEMSA,1998,1513
MERKO,1998,299
METAS,1998,156
MIGRS,1998,5353
MILYT,1998,40
MIPAZ,1998,90
MMART,1998,780
MRDIN,1998,188
MRSHL,1998,608
MTEKS,1998,178
MUTLU,1998,588
MYZYO,1998,3
MZHLD,1998,24
NERGS,1998,115
NETAS,1998,1239
NIGDE,1998,149
NTHOL,1998,48
NTTUR,1998,965
OKANT,1998,228
OLMKS,1998,469
OTKAR,1998,494
OTOSN,1998,3453
OZFIN,1998,9
PARSN,1998,493
PASTA,1998,208
PEGPR,1998,332
PENGD,1998,525
PETKM,1998,5538
PIMAS,1998,352
PINSU,1998,229
PKENT,1998,90
PNET,1998,584
PNSUT,1998,887
PNUN,1998,49
POLYL,1998,1031
PRKTE,1998,227
PRTAS,1998,124
PTOFS,1998,6182
RAKSE,1998,694
RANTL,1998,32
RAYSG,1998,181
RKSEV,1998,329
SABAH,1998,431
SAHOL,1998,216
SAPAZ,1998,43
SARKY,1998,511
SASA,1998,3304
SELGD,1998,401
SERVE,1998,159
SIFAS,1998,1749
SISE,1998,365
SKBNK,1998,3188
SKTAS,1998,1433
SMENS,1998,953
SNPAM,1998,968
SOKSA,1998,209
SONME,1998,806
SVGSH,1998,646
TACYO,1998,8
TATKS,1998,1221
TBORG,1998,456
TEKST,1998,968
TEZSN,1998,224
THYAO,1998,11037
TIRE,1998,698
TKBNK,1998,913
TNSAS,1998,34
TOASO,1998,5083
TOFAS,1998,367
TOPFN,1998,43
TPBNK,1998,2986
TPFAC,1998,35
TRNSK,1998,56
TSKB,1998,364
TUDDF,1998,1298
TUKAS,1998,127
TUMTK,1998,
TUPRS,1998,4422
TURK,1998,365
UCAK,1998,1470
UKIM,1998,1363
UNTAR,1998,120
UNYEC,1998,213
USAK,1998,244
UZEL,1998,2324
VAKFN,1998,70
VAKKO,1998,841
VANET,1998,174
VARYO,1998,3
VESTL,1998,3513
VKFYT,1998,8
VKING,1998,329
YABNK,1998,1755
YASAS,1998,589
YKBNK,1998,10864
YKFIN,1998,86
YKRYO,1998,3
YUNSA,1998,760
ABANA,1999,19
ADANA,1999,556
ADEL,1999,212
AFYON,1999,134
AGIDA,1999,981
AKCNS,1999,951
AKFIN,1999,46
AKGRT,1999,338
AKIPD,1999,1609
AKSA,1999,628
AKSUE,1999,21
AKTAS,1999,481
AKYO,1999,4
ALCAR,1999,780
ALCTL,1999,701
ALKIM,1999,381
ALNTF,1999,678
ALTIN,1999,1612
ALYAG,1999,334
ANACM,1999,809
ANBRA,1999,45
ANHYT,1999,244
ANSGR,1999,308
APEKS,1999,125
ARAT,1999,872
ARCLK,1999,6394
ARFYO,1999,3
ARSAN,1999,1089
ASELS,1999,2849
ASLAN,1999,201
ASUZU,1999,732
ATAYO,1999,2
ATLAS,1999,5
ATSYO,1999,3
AVRSY,1999,2
AYCES,1999,181
AYGAZ,1999,656
BAGFS,1999,443
BAKAB,1999,341
BANVT,1999,1778
BEKO,1999,1728
BERDN,1999,1106
BFREN,1999,193
BISAS,1999,310
BOLUC,1999,299
BOSSA,1999,2882
BRISA,1999,1218
BRMEN,1999,1438
BROVA,1999,48
BRSAN,1999,1036
BRYAT,1999,13
BSOKE,1999,269
BSPRO,1999,2788
BTCIM,1999,427
BUCIM,1999,291
BUMYO,1999,7
BURCE,1999,295
BYRBY,1999,215
BYSAN,1999,
CARSI,1999,1804
CBSBO,1999,164
CELHA,1999,357
CEMTS,1999,329
CEYLN,1999,109
CIMSA,1999,513
CLEBI,1999,781
CMBTN,1999,350
CMENT,1999,705
