,Firm,Year,Name
0,ALTIN,1998,ALTINYILDIZ MENSUCAT VE KONFEKSİYON FAB. A.Ş
1,PKENT,1998,PETROKENT TURİZM A.Ş.
2,ADEL,1998,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.
3,YASAS,1998,YASAŞ YAŞAR BOYA VE KİMYA SAN.VE TİC.A.Ş.
4,COMUN,1998,COMMERCIAL UNION SİGORTA A.Ş.
5,PETKM,1998,PETKİM PETROKİMYA HOLDİNG A.Ş.
6,UNYEC,1998,ÜNYE ÇİMENTO SANAYİİ VE TİCARET A.Ş.
7,SAPAZ,1998,SABAH PAZARLAMA A.Ş.
8,DMRYO,1998,DEMİR  YATIRIM  ORTAKLIĞI  A.Ş.
9,EGGUB,1998,EGE GÜBRE SANAYİİ A.Ş.
10,ERCYS,1998,ERCİYAS BİRACILIK VE MALT SANAYİİ A.Ş.
11,FACF,1998,FACTOFİNANS ALACAK ALIMI A.Ş.
12,DOHOL,1998,DOĞAN ŞİRKETLER GRUBU HOLDİNG A.Ş.
13,Alfa,1998,ALFA MENKUL DEĞERLER A.Ş.
14,BUCIM,1998,BURSA ÇİMENTO FABRİKASI A.Ş.
15,CARSI,1998,ÇARŞI BÜYÜK MAĞAZACILIK A.Ş.
16,KIPA,1998,KİPA KİTLE PAZARLAMA VE GIDA SAN.VE TİC.A.Ş.
17,MIPAZ,1998,MİLPA TİCARİ VE SINAİ ÜRÜNLER PAZARLAMA SANAYİ VE TİCARET A.Ş.
18,konya,1998,KONYA ÇİMENTO SANAYİİ A.Ş.
19,GUSGR,1998,GÜNEŞ   SİGORTA   A.Ş.
20,SARKY,1998,SARKUYSAN ELEKTROLİTİK BAKIR SANAYİİ VE TİC.A.Ş.
21,MERKO,1998,MERKO GIDA SANAYİ VE TİCARET A.Ş.
22,SAHOL,1998,HACI ÖMER SABANCI HOLDİNG A.Ş.
23,SISE,1998,"
TÜRKİYE ŞİŞE VE CAM FABRİKALARI A.Ş."
24,ARDEM,1998,ARDEM PİŞİRİCİ VE ISITICI CİHAZLAR SANAYİİ A.Ş.
25,ARCLK,1998,ARÇELİK A.Ş.
26,PRKTE,1998,PARK TEKSTİL SANAYİ VE TİCARET A.Ş.
27,CELHA,1998,ÇELİK HALAT VE TEL SANAYİİ A.Ş.
28,EMKEL,1998,EMEK ELEKTRİK ENDÜSTRİSİ AŞ.
29,GLMDE,1998,GLOBAL MENKUL DEĞERLER A.Ş.
30,FFKRL,1998,FİNANS FİNANSAL KİRALAMA A.Ş.
31,GARAN,1998,T. GARANTİ BANKASI A.Ş.
32,NIGDE,1998,OYSA NİĞDE ÇİMENTO SANAYİİ VE TİCARET A.Ş.
33,MUTLU,1998,MUTLU AKÜ VE MALZEMELERİ SANAYİ A.Ş.
34,GEDIZ,1998,GİMSAN GEDİZ İPLİK VE MENSUCAT SANAYİİ A.Ş.
35,EGSER,1998,EGE SERAMİK SANAYİ VE TİCARET A.Ş.
36,KCHOL,1998,KOÇ HOLDİNG A.Ş.
37,METAS,1998,METAŞ İZMİR METALURJİ FABRİKASI T.A.Ş.
38,ARAT,1998,ARAT TEKSTİL SANAYİ VE TİCARET A.Ş.
39,IHLAS,1998,İHLAS HOLDİNG ANONİM ŞİRKETİ
40,EGIYM,1998,EGS EGESER GİYİM SANAYİ İÇ VE DIŞ TİCARET A.Ş
41,PASTA,1998,PASTAVİLLA MAKARNACILIK SANAYİ VE TİCARET A.Ş.
42,ADANA,1998,ADANA ÇİMENTO SANAYİİ T.A.Ş.
43,YKBNK,1998,YAPI ve KREDİ BANKASI A.Ş.
44,TUPRS,1998,TÜPRAŞ TÜRKİYE PETROL RAFİNERİLERİ A.Ş.
45,FINBN,1998,FİNANSBANK A.Ş.
46,PARSN,1998,PARSAN MAKİNA PARÇALARI SANAYİİ A.Ş.
47,YKRYO,1998,YAPI KREDİ YATIRIM ORTAKLIĞI A.Ş.
48,DOGUB,1998,DOĞUSAN BORU SANAYİİ VE TİCARET A.Ş.
49,AKSA,1998,AKSA AKRİLİK KİMYA SANAYİİ A.Ş.
50,KLBMO,1998,KELEBEK MOBİLYA VE KONTRPLAK SANAYİ A.Ş.
51,UNTAR,1998,ÜNAL TARIM ÜRÜNLERİ İHRACAT VE SANAYİ A.Ş.
