Firm,Year,red,blue,Employment,MarketCap,num_days_nxt,total_return_nxt,num_days,total_return,sectorNo,sectorNote,MarketLeader,n_competitor,n_closecomp,CloseLeader,CloseCompetitor,n_investment,estimated_USD,estimated_TL,D,DeltaD,have_inv
ABANA,1998,1,1,17,3159000000000,235,1.8268203133132386,246,-0.6788426962204436,28,elektronik kablo etc,FALSE,6,0,1,FALSE,0,0,0,1,NA,FALSE
ADANA,1998,1,0,567,179430653322000,235,1.8533857231145907,247,-0.337269701812537,20,cimento,FALSE,16,2,0,TRUE,3,16398012.770845825,4240217,0,NA,TRUE
ADEL,1998,1,1,195,6500000000000,236,1.1759340602714161,238,-0.3323866441431589,65,tahta urunleri kibrit kalem,FALSE,3,0,1,FALSE,0,0,0,1,NA,FALSE
AFYON,1998,0,0,142,3840000000000,236,1.2031193519533754,247,0.10365795257424537,20,cimento,FALSE,16,2,0,TRUE,1,2748791.713488701,1200000,0,NA,TRUE
AGIDA,1998,0,1,899,5618025e10,236,1.1525128673470917,247,0.24043926824230777,54,pastry food and biscuits etc,TRUE,3,0,1,FALSE,1,7062592.402620292,4378000,1,NA,TRUE
AKALT,1998,0,1,2439,19819183650000,236,1.671313316152186,247,-0.8684327662640885,62,son giyilecek clothes tekstil,FALSE,12,3,0,TRUE,0,0,0,1,NA,FALSE
AKBNK,1998,0,1,7911,240625e10,236,1.6213565138578787,247,-0.18024976489984557,2,Bankalar,FALSE,16,1,0,TRUE,0,0,0,1,NA,FALSE
AKCNS,1998,0,0,996,599312277963000,236,1.5826610941737203,246,-0.13844524880786802,20,cimento,TRUE,16,0,1,FALSE,3,10718550.056723006,83549688068,0,NA,TRUE
AKFIN,1998,0,1,47,3644865000000,236,1.7559397251270108,247,-0.6104554647148279,4,"Factoring, finansal kiralama",FALSE,10,1,1,TRUE,0,0,0,1,NA,FALSE
AKGRT,1998,0,1,339,81562500000000,236,1.9485618070495456,247,-0.3968576141347324,61,sigorta sirketleri,FALSE,7,2,0,TRUE,0,0,0,1,NA,FALSE
AKIPD,1998,0,1,1620,23424640200000,236,1.6216135398202962,247,-0.8157394092723398,13,ara ureticiler tekstil,FALSE,12,0,1,FALSE,0,0,0,1,NA,FALSE
AKSA,1998,0,1,655,163868801250000,225,1.9036773854320368,247,-0.8913938879036558,17,boya,FALSE,7,1,0,TRUE,0,0,0,1,NA,FALSE
AKTAS,1998,0,0,458,1775e14,155,0.15382367170603928,247,-0.7393479323752583,28,elektronik kablo etc,TRUE,6,0,1,FALSE,7,8152699.835176833,2891716,0,NA,TRUE
ALARK,1998,0,1,48,636500000000000,236,2.25365438570587,247,-0.10760207794945131,8,Holdingler ve yatirim sirketleri,FALSE,16,6,0,TRUE,0,0,0,1,NA,FALSE
ALCTL,1998,0,1,657,69000000000000,236,2.2273515268803816,247,-0.941935439628439,15,aselsanlike,FALSE,3,1,0,TRUE,0,0,0,1,NA,FALSE
ALNTF,1998,0,1,673,61379264320000,236,1.8589333264821228,247,-1.0493691673829435,2,Bankalar,FALSE,16,4,0,TRUE,0,0,0,1,NA,FALSE
ALRSA,1998,0,1,768,27337500000000,236,1.4463547883104868,247,-0.020517104401407665,3,Beyazesya,FALSE,7,1,1,TRUE,0,0,0,1,NA,FALSE
ALTIN,1998,0,1,1469,56190153600000,236,1.5297839726286926,247,-0.33703379856434,62,son giyilecek clothes tekstil,TRUE,12,0,1,FALSE,0,0,0,1,NA,FALSE
ANACM,1998,0,0,872,21286500000000,236,1.74835754863178,247,-0.5830429311675482,19,cam,FALSE,4,1,0,TRUE,3,6972756.171475776,2435535,0,NA,TRUE
ANBRA,1998,0,1,53,495635e10,236,1.3494723643879167,247,0.6149741637254511,10,Malt bira,FALSE,5,0,1,FALSE,0,0,0,1,NA,FALSE
ANSGR,1998,0,1,311,41400000000000,236,1.842406881014615,246,0.05623494351258351,61,sigorta sirketleri,FALSE,7,3,0,TRUE,3,266701.4228665959,163012,1,NA,TRUE
APEKS,1998,0,0,181,325e13,230,0.04301738508369102,247,-0.35099785974777475,51,"other products, superfreshlike",TRUE,5,0,1,FALSE,0,0,0,0,NA,FALSE
ARAT,1998,0,1,624,2950000000000,236,0.8935862105509229,247,-0.46122868262661953,62,son giyilecek clothes tekstil,FALSE,12,3,0,TRUE,0,0,0,1,NA,FALSE
ARCLK,1998,0,1,3359,430312500000000,236,1.8409842210564613,247,-0.14114667358876554,3,Beyazesya,TRUE,7,0,1,FALSE,4,24795000,6411519.614250001,1,NA,TRUE
ARDEM,1998,0,1,970,88320000000000,140,1.01709543099612,247,-0.5187785813431152,40,isitici,TRUE,1,0,1,FALSE,1,13922128.50782046,3600000,1,NA,TRUE
ARFYO,1998,0,0,3,1040722200000,236,2.3167697279860016,247,-0.8310667183779361,46,menkul kiymet yatirim ortakliklari,FALSE,14,6,0,TRUE,0,0,0,0,NA,FALSE
ASELS,1998,0,0,2665,66250000000000,236,2.389521811262001,247,-0.3067307674223474,15,aselsanlike,FALSE,3,1,1,TRUE,0,0,0,0,NA,FALSE
ASLAN,1998,0,0,351,26666565609000,236,1.4511204508085394,247,-0.6099709112092133,20,cimento,FALSE,16,5,0,TRUE,6,6586978.697983147,2433402,0,NA,TRUE
ASUZU,1998,1,1,216,60706002500000,236,1.3866808009955525,247,-0.8470366881371367,1,Araba,FALSE,8,0,1,FALSE,0,0,0,1,NA,FALSE
