Firm;Year;EstInvAmount;unitEA;RealizedInvAmount;unitRA;Inv_Name;beg_date;end_date
ABANA;1998;-;(Milyon-Million TL);-;(Milyon-Million TL);-;1998-01-01;1998-01-01
ADANA;1998;2.877.159;(Milyon-Million TL);2.877.159;(Milyon-Million TL);"-KAPASİTE ARTIRIMI (PREKALSİNASYON)
(Capacity Increase- Precalcinatıon)";1998-01-01;1998-01-01
ADANA;1998;165.594;(Milyon-Million TL);165.594;(Milyon-Million TL);"-HAZIR BETON YATIRIMLARI
(Ready-Mix Concrete Investments)";1998-01-01;1998-01-01
ADANA;1998;"
1.197.464";(Milyon-Million TL);"
1.197.464";(Milyon-Million TL);"-MODERNİZASYON YATIRIMLARI
(Modernizatıon Investments)";1998-01-01;1998-01-01
ADEL;1998;-;(Milyon-Million TL);-;(Milyon-Million TL);-;1998-01-01;1998-01-01
AFYON;1998;1.150.576;(Milyon-Million TL);201.245;(Milyon-Million TL);"ÇİMENTO DEĞİRMENİ
 (CEMENT MILL)";1997-01-01;2000-01-01
AFYON;1998;;(Milyon-Million TL);14.062;(Milyon-Million TL);"MUHTELİF
 (MISCELLANEOUS)";1997-01-01;1998-01-01
Agìda;1998;15.847.941;(Milyon-Million TL);4.754.382;(Milyon-Million TL);"Genel Tevsii Modernizasyon Yatırımı 
(General Modernization and Renovation)";1996-12-01;1999-12-31
Agìda;1998;1.861.355;(Milyon-Million TL);-;(Milyon-Million TL);"Kojenerasyon Yatırımı “Proje”
(Co-generator for Electric Production “Project”)";1997-12-29;1999-12-31
AKALT;1998;3.286.662;(Milyon-Million TL);2.003.540;(Milyon-Million TL);"ALAPLI KOMPLE YENİ YATIRIM
Alaplı New Investment";1992-06-01;1998-12-31
AKALT;1998;154.753;(Milyon-Million TL);71.739;(Milyon-Million TL);"YALOVA YATIRIM MODERNİZASYON 
Yalova Modernisation Invesment";1993-05-06;1998-12-31
AKALT;1998;76.600;(Milyon-Million TL);10.320;(Milyon-Million TL);"YALOVA MODERNİZASYON
Yalova Modernisation ";1991-06-12;1998-12-31
AKALT;1998;192.162;(Milyon-Million TL);34.529;(Milyon-Million TL);"YALOVA DARBOĞAZ GİDERME
Yalova Bottleneck Prevention";1996-01-01;1998-12-31
AKALT;1998;3.792.778;(Milyon-Million TL);199.768;(Milyon-Million TL);"YALOVA YATIRIM MODERNİZASYON
Yalova Modernisation Investment";1995-12-08;1998-12-31
AKALT;1998;3.183.441;(Milyon-Million TL);1.777.055;(Milyon-Million TL);"YALOVA TEVSİİ MODERNİZASYON
Yalova Invesment For Capacity Inrease And Modernisation";1996-09-26;1998-12-31
AKALT;1998;51.227;(Milyon-Million TL);21.893;(Milyon-Million TL);"BOZÜYÜK YATIRIM YENİLEME
Bozüyük Renewal Of The Investment";1993-07-01;1998-12-31
AKBNK;1998;33.048.750;(Milyon-Million TL);19.671.875;(Milyon-Million TL);"Akbank  2000  Yenileme
(Akbank  2000  Renovation)";1995-01-01;2000-01-01
AKCNS;1998;100.274;(Milyon-Million TL);102.492;(Milyon-Million TL);G1 ÇİMENTO DEĞİRMENİ;1996-01-01;1999-01-01
AKCNS;1998;87.097;(Milyon-Million TL);7.251;(Milyon-Million TL);ENERJİ TASARRUF SİSTEMLERİ;1997-01-01;1999-01-01
AKCNS;1998;2.047.170;(Milyon-Million TL);961.737;(Milyon-Million TL);BY-PASS MULTİSİKLON FİLTRELER;1998-01-01;1999-01-01
AKCNS;1998;640.898;(Milyon-Million TL);167.139;(Milyon-Million TL);KAPALI KLINKER STOKHOLÜ;1998-01-01;1999-01-01
AKCNS;1998;622.700;(Milyon-Million TL);7.732;(Milyon-Million TL);MODERN.KALİTE DÜZELT.VE YENİL.PROJESİ;1997-01-01;1999-01-01
AKCNS;1998;;(Milyon-Million TL);83.547;(Milyon-Million TL);İDAME YATIRIMLAR;1998-01-01;1998-01-01
AKGRT;1998;-;(Milyon-Million TL);-;(Milyon-Million TL);-;1998-01-01;1998-01-01
AKIPD;1998;8,946,426;(Milyon-Million TL);2,811,431;(Milyon-Million TL);"MEGA YATIRIM PROJESİ
MEGA INVESTMENT PROJECT";1993-05-28;NA
AKSA;1998;26.753.661.-;(Milyon-Million TL);1.091.369.-;(Milyon-Million TL);KOMPLE YENİ YATIRIM  (New Investment);1996-11-22;1999-11-22
AKTAS;1998;83.773;(Milyon-Million TL);42.263;(Milyon-Million TL);"DUDULLU HİZMET BİNASI
(Service Building Construction)";1998-01-01;1999-01-01
